bin,Category
417976,street banks
417977,street banks
418037,street banks
418040,street banks
418041,street banks
418049,street banks
418053,street banks
418090,street banks
418238,street banks
418249,street banks
418340,street banks
418344,street banks
418400,street banks
418452,street banks
418515,street banks
418651,street banks
418685,street banks
418745,street banks
418788,street banks
418794,street banks
418811,street banks
418812,street banks
418819,street banks
418820,street banks
418822,street banks
418836,street banks
418850,street banks
418851,street banks
418853,street banks
418858,street banks
418875,street banks
418895,street banks
418914,street banks
419002,street banks
419003,street banks
419048,street banks
419162,street banks
419175,street banks
419185,street banks
419189,street banks
419227,street banks
419237,street banks
419368,street banks
419372,street banks
419378,street banks
419379,street banks
419418,street banks
419460,street banks
419516,street banks
419560,street banks
419561,street banks
419620,street banks
419648,street banks
419679,street banks
419681,street banks
419704,street banks
419713,street banks
419749,street banks
419822,street banks
419860,street banks
419878,street banks
419964,street banks
419990,street banks
420012,street banks
420145,street banks
420150,street banks
420156,street banks
420184,street banks
420199,street banks
420330,street banks
420375,street banks
420520,street banks
420524,street banks
420526,street banks
420529,street banks
420530,street banks
420567,street banks
420571,street banks
420573,street banks
420580,street banks
420618,street banks
420730,street banks
420758,street banks
420767,street banks
420773,street banks
420804,street banks
420845,street banks
420857,street banks
421003,street banks
421020,street banks
421091,street banks
421100,street banks
421102,street banks
421144,street banks
421225,street banks
421252,street banks
421300,street banks
421305,street banks
421310,street banks
421316,street banks
421323,street banks
421329,street banks
421335,street banks
421338,street banks
421352,street banks
421355,street banks
421357,street banks
421363,street banks
421365,street banks
421370,street banks
421378,street banks
421385,street banks
421401,street banks
421410,street banks
421432,street banks
421450,street banks
421496,street banks
421498,street banks
421558,street banks
421559,street banks
421584,street banks
421586,street banks
421623,street banks
421652,street banks
421738,street banks
421767,street banks
421808,street banks
421828,street banks
421852,street banks
421858,street banks
421875,street banks
421918,street banks
421940,street banks
421949,street banks
421951,street banks
421958,street banks
421960,street banks
422002,street banks
422007,street banks
422010,street banks
422052,street banks
422053,street banks
422061,street banks
422070,street banks
422074,street banks
422093,street banks
422109,street banks
422124,street banks
422137,street banks
422142,street banks
422149,street banks
422165,street banks
422174,street banks
422195,street banks
422200,street banks
422205,street banks
422224,street banks
422240,street banks
422243,street banks
422248,street banks
422274,street banks
422282,street banks
422288,street banks
422368,street banks
422413,street banks
422418,street banks
422560,street banks
422634,street banks
422686,street banks
422695,street banks
422820,street banks
422821,street banks
422865,street banks
423044,street banks
423063,street banks
423064,street banks
423067,street banks
423069,street banks
423071,street banks
423085,street banks
423120,street banks
423153,street banks
423154,street banks
